mitre_id,name,description,aliases,techniques
S0543,Spark,"
[Spark](https://attack.mitre.org/software/S0543) is a Windows backdoor and has been in use since as early as 2017.(Citation: Unit42 Molerat Mar 2020) ",Spark,T1027.002|T1033|T1041|T1059.003|T1071.001|T1082|T1132.001|T1140|T1497.002|T1614.001
S0686,QuietSieve,[QuietSieve](https://attack.mitre.org/software/S0686) is an information stealer that has been used by [Gamaredon Group](https://attack.mitre.org/groups/G0047) since at least 2021.(Citation: Microsoft Actinium February 2022),QuietSieve,T1005|T1016.001|T1071.001|T1083|T1105|T1113|T1120|T1135|T1564.003
S0242,SynAck,[SynAck](https://attack.mitre.org/software/S0242) is variant of Trojan ransomware targeting mainly English-speaking users since at least fall 2017. (Citation: SecureList SynAck Doppelgänging May 2018) (Citation: Kaspersky Lab SynAck May 2018),SynAck,T1007|T1012|T1027|T1033|T1055.013|T1057|T1082|T1083|T1106|T1112|T1486|T1497.001|T1614.001|T1685.005
S1039,Bumblebee,"[Bumblebee](https://attack.mitre.org/software/S1039) is a custom loader written in C++ that has been used by multiple threat actors, including possible initial access brokers, to download and execute additional payloads since at least March 2022. [Bumblebee](https://attack.mitre.org/software/S1039) has been linked to ransomware operations including [Conti](https://attack.mitre.org/software/S0575), Quantum, and Mountlocker and derived its name from the appearance of ""bumblebee"" in the user-agent.",Bumblebee,T1005|T1008|T1012|T1027|T1033|T1036.005|T1041|T1047|T1053.005|T1055|T1055.001|T1055.004|T1057|T1059.001|T1059.003|T1059.005|T1070.004|T1082|T1102|T1105|T1106|T1129|T1132.001|T1140|T1204.001|T1204.002|T1218.008|T1218.011|T1497|T1497.001|T1497.003|T1518.001|T1548.002|T1559.001|T1560|T1566.001|T1566.002|T1573.001|T1622
S9015,BRICKSTORM,"[BRICKSTORM](https://attack.mitre.org/software/S9015) is a cross-platform backdoor with variants written in Go and Rust that facilitates command and control, the ingress transfer of other malware, and the exfiltration of data.(Citation: CISA BRICKSTORM UNC5221 AR25-338A February 2026)(Citation: Picus Security BRICKSTORM UNC5221 October 2025)(Citation: Resecurity UNC5221 BRICKSTORM F5 Big-IP October 2025)(Citation: Google BRICKSTORM September 2025) [BRICKSTORM](https://attack.mitre.org/software/S",BRICKSTORM,T1005|T1027|T1027.013|T1036.005|T1041|T1057|T1059.004|T1070.004|T1070.010|T1071.001|T1071.004|T1083|T1090.001|T1102|T1105|T1132.001|T1140|T1489|T1543|T1568|T1572|T1573.002|T1574.007|T1678|T1690
S0233,MURKYTOP,[MURKYTOP](https://attack.mitre.org/software/S0233) is a reconnaissance tool used by [Leviathan](https://attack.mitre.org/groups/G0065). (Citation: FireEye Periscope March 2018),MURKYTOP,T1018|T1046|T1053.002|T1059.003|T1069|T1070.004|T1082|T1087.001|T1135
S1125,AcidRain,"[AcidRain](https://attack.mitre.org/software/S1125) is an ELF binary targeting modems and routers using MIPS architecture.(Citation: AcidRain JAGS 2022) [AcidRain](https://attack.mitre.org/software/S1125) is associated with the ViaSat KA-SAT communication outage that took place during the initial phases of the 2022 full-scale invasion of Ukraine. Analysis indicates overlap with another network device-targeting malware, VPNFilter, associated with [Sandworm Team](https://attack.mitre.org/groups/G0",AcidRain,T1083|T1485|T1529|T1561.001
S0417,GRIFFON,[GRIFFON](https://attack.mitre.org/software/S0417) is a JavaScript backdoor used by [FIN7](https://attack.mitre.org/groups/G0046). (Citation: SecureList Griffon May 2019),GRIFFON,T1053.005|T1059.001|T1059.007|T1069.002|T1082|T1113|T1124|T1547.001
S0343,Exaramel for Windows,[Exaramel for Windows](https://attack.mitre.org/software/S0343) is a backdoor used for targeting Windows systems. The Linux version is tracked separately under [Exaramel for Linux](https://attack.mitre.org/software/S0401).(Citation: ESET TeleBots Oct 2018),Exaramel for Windows,T1027.011|T1036.004|T1059.003|T1059.005|T1074.001|T1112|T1543.003|T1560
S1025,Amadey,[Amadey](https://attack.mitre.org/software/S1025) is a Trojan bot that has been used since at least October 2018.(Citation: Korean FSI TA505 2020)(Citation: BlackBerry Amadey 2020),Amadey,T1005|T1016|T1027|T1033|T1041|T1071.001|T1082|T1083|T1105|T1106|T1112|T1140|T1518.001|T1547.001|T1553.005|T1568.001|T1614
S1206,JumbledPath,[JumbledPath](https://attack.mitre.org/software/S1206) is a custom-built utility written in GO that has been used by [Salt Typhoon](https://attack.mitre.org/groups/G1045) since at least 2024 for packet capture on remote Cisco devices. [JumbledPath](https://attack.mitre.org/software/S1206) is compiled as an ELF binary using x86-64 architecture which makes it potentially useable across Linux operating systems and network devices from multiple vendors.(Citation: Cisco Salt Typhoon FEB 2025),JumbledPath,T1040|T1104|T1560|T1665|T1685|T1685.006
S0416,RDFSNIFFER,[RDFSNIFFER](https://attack.mitre.org/software/S0416) is a module loaded by [BOOSTWRITE](https://attack.mitre.org/software/S0415) which allows an attacker to monitor and tamper with legitimate connections made via an application designed to provide visibility and system management capabilities to remote IT techs.(Citation: FireEye FIN7 Oct 2019),RDFSNIFFER,T1056.004|T1070.004|T1106
S1192,NICECURL,[NICECURL](https://attack.mitre.org/software/S1192) is a VBScript-based backdoor used by [APT42](https://attack.mitre.org/groups/G1044) to download additional modules.(Citation: Mandiant APT42-untangling),NICECURL,T1059|T1070.004|T1071.001|T1105|T1573.002
S0238,Proxysvc,[Proxysvc](https://attack.mitre.org/software/S0238) is a malicious DLL used by [Lazarus Group](https://attack.mitre.org/groups/G0032) in a campaign known as Operation GhostSecret. It has appeared to be operating undetected since 2017 and was mostly observed in higher education organizations. The goal of [Proxysvc](https://attack.mitre.org/software/S0238) is to deliver additional payloads to the target and to maintain control for the attacker. It is in the form of a DLL that can also be executed ,Proxysvc,T1005|T1012|T1016|T1041|T1057|T1059.003|T1070.004|T1071.001|T1082|T1083|T1119|T1124|T1485|T1569.002|T1680
S0229,Orz,[Orz](https://attack.mitre.org/software/S0229) is a custom JavaScript backdoor used by [Leviathan](https://attack.mitre.org/groups/G0065). It was observed being used in 2014 as well as in August 2017 when it was dropped by Microsoft Publisher files. (Citation: Proofpoint Leviathan Oct 2017) (Citation: FireEye Periscope March 2018),Orz|AIRBREAK,T1016|T1027|T1055.012|T1057|T1059.003|T1070|T1082|T1083|T1102.002|T1105|T1112|T1218.010|T1518
S0678,Torisma,[Torisma](https://attack.mitre.org/software/S0678) is a second stage implant designed for specialized monitoring that has been used by [Lazarus Group](https://attack.mitre.org/groups/G0032). [Torisma](https://attack.mitre.org/software/S0678) was discovered during an investigation into the 2020 Operation North Star campaign that targeted the defense sector.(Citation: McAfee Lazarus Nov 2020),Torisma,T1016|T1027.002|T1027.013|T1041|T1049|T1071.001|T1106|T1124|T1132.001|T1140|T1480|T1573.001|T1680
S0353,NOKKI,[NOKKI](https://attack.mitre.org/software/S0353) is a modular remote access tool. The earliest observed attack using [NOKKI](https://attack.mitre.org/software/S0353) was in January 2018. [NOKKI](https://attack.mitre.org/software/S0353) has significant code overlap with the [KONNI](https://attack.mitre.org/software/S0356) malware family. There is some evidence potentially linking [NOKKI](https://attack.mitre.org/software/S0353) to [APT37](https://attack.mitre.org/groups/G0067).(Citation: Unit 42 ,NOKKI,T1016|T1027|T1033|T1036.005|T1056.004|T1070.004|T1071.001|T1071.002|T1074.001|T1082|T1105|T1124|T1140|T1218.011|T1547.001|T1680
S0248,yty,"[yty](https://attack.mitre.org/software/S0248) is a modular, plugin-based malware framework. The components of the framework are written in a variety of programming languages. (Citation: ASERT Donot March 2018)",yty,T1005|T1016|T1018|T1027.002|T1027.016|T1033|T1053.005|T1056.001|T1057|T1082|T1083|T1102.002|T1113|T1497.001|T1680
S0093,Backdoor.Oldrea,"[Backdoor.Oldrea](https://attack.mitre.org/software/S0093) is a modular backdoor that used by [Dragonfly](https://attack.mitre.org/groups/G0035) against energy companies since at least 2013. [Backdoor.Oldrea](https://attack.mitre.org/software/S0093) was distributed via supply chain compromise, and included specialized modules to enumerate and map ICS-specific systems, processes, and protocols.(Citation: Symantec Dragonfly)(Citation: Gigamon Berserk Bear October 2021)(Citation: Symantec Dragonfly",Backdoor.Oldrea|Havex,T1016|T1018|T1033|T1046|T1055|T1057|T1070.004|T1082|T1083|T1087.003|T1105|T1132.001|T1218.011|T1547.001|T1555.003|T1560
S0213,DOGCALL,[DOGCALL](https://attack.mitre.org/software/S0213) is a backdoor used by [APT37](https://attack.mitre.org/groups/G0067) that has been used to target South Korean government and military organizations in 2017. It is typically dropped using a Hangul Word Processor (HWP) exploit. (Citation: FireEye APT37 Feb 2018),DOGCALL,T1027.013|T1056.001|T1102.002|T1105|T1113|T1123
S0603,Stuxnet,"[Stuxnet](https://attack.mitre.org/software/S0603) was the first publicly reported malware to specifically target industrial control systems devices. [Stuxnet](https://attack.mitre.org/software/S0603) is a large and complex malware that utilized multiple behaviors, including numerous zero-day vulnerabilities, a sophisticated Windows rootkit, and network infection routines.(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011)(Citation: CISA ICS Advisory ICSA-10-272-01)(Citation: E",Stuxnet|W32.Stuxnet,T1008|T1012|T1014|T1016|T1021|T1021.002|T1027.013|T1041|T1047|T1053.005|T1055.001|T1068|T1070|T1070.004|T1070.006|T1071.001|T1078.001|T1078.002|T1080|T1082|T1083|T1087.001|T1087.002|T1090.001|T1091|T1106|T1112|T1120|T1124|T1129|T1132.001|T1134.001|T1135|T1140|T1210|T1480|T1505.001|T1518.001|T1543.003|T1553.002|T1560.003|T1570|T1573.001|T1685
S9029,IronWind,[IronWind](https://attack.mitre.org/software/S9029) is a custom loader malware that has been in use since at least 2023 by actors including [WIRTE](https://attack.mitre.org/groups/G0090) to target entities in the Middle East.(Citation: Check Point Wirte NOV 2024),IronWind,T1027.010|T1033|T1059.003|T1070|T1071.001|T1082|T1140|T1518|T1574.001
S0134,Downdelph,[Downdelph](https://attack.mitre.org/software/S0134) is a first-stage downloader written in Delphi that has been used by [APT28](https://attack.mitre.org/groups/G0007) in rare instances between 2013 and 2015. (Citation: ESET Sednit Part 3),Downdelph|Delphacy,T1001.001|T1105|T1548.002|T1573.001|T1574.001
S1078,RotaJakiro,"[RotaJakiro](https://attack.mitre.org/software/S1078) is a 64-bit Linux backdoor used by [APT32](https://attack.mitre.org/groups/G0050). First seen in 2018, it uses a plugin architecture to extend capabilities. [RotaJakiro](https://attack.mitre.org/software/S1078) can determine it's permission level and execute according to access type (`root` or `user`).(Citation: RotaJakiro 2021 netlab360 analysis)(Citation: netlab360 rotajakiro vs oceanlotus)",RotaJakiro,T1036.005|T1037|T1041|T1057|T1082|T1095|T1106|T1119|T1129|T1132.001|T1140|T1543.002|T1546.004|T1547.013|T1559|T1571|T1573.001
S1053,AvosLocker,"[AvosLocker](https://attack.mitre.org/software/S1053) is ransomware written in C++ that has been offered via the Ransomware-as-a-Service (RaaS) model. It was first observed in June 2021 and has been used against financial services, critical manufacturing, government facilities, and other critical infrastructure sectors in the United States. As of March 2022, [AvosLocker](https://attack.mitre.org/software/S1053) had also been used against organizations in Belgium, Canada, China, Germany, Saudi Ar",AvosLocker,T1027|T1027.007|T1036.008|T1057|T1083|T1106|T1124|T1135|T1140|T1486|T1489|T1529|T1547.001|T1564.003|T1688
S0185,SEASHARPEE,[SEASHARPEE](https://attack.mitre.org/software/S0185) is a Web shell that has been used by [OilRig](https://attack.mitre.org/groups/G0049). (Citation: FireEye APT34 Webinar Dec 2017),SEASHARPEE,T1059.003|T1070.006|T1105|T1505.003
S0460,Get2,"[Get2](https://attack.mitre.org/software/S0460) is a downloader written in C++ that has been used by [TA505](https://attack.mitre.org/groups/G0092) to deliver [FlawedGrace](https://attack.mitre.org/software/S0383), [FlawedAmmyy](https://attack.mitre.org/software/S0381), Snatch and [SDBbot](https://attack.mitre.org/software/S0461).(Citation: Proofpoint TA505 October 2019)",Get2,T1033|T1055.001|T1057|T1059|T1071.001|T1082
S0184,POWRUNER,[POWRUNER](https://attack.mitre.org/software/S0184) is a PowerShell script that sends and receives commands to and from the C2 server. (Citation: FireEye APT34 Dec 2017),POWRUNER,T1012|T1016|T1033|T1047|T1049|T1053.005|T1057|T1059.001|T1059.003|T1069.001|T1069.002|T1071.001|T1071.004|T1082|T1083|T1087.002|T1105|T1113|T1132.001|T1518.001
S1075,KOPILUWAK,[KOPILUWAK](https://attack.mitre.org/software/S1075) is a JavaScript-based reconnaissance tool that has been used for victim profiling and C2 since at least 2017.(Citation: Mandiant Suspected Turla Campaign February 2023),KOPILUWAK,T1005|T1016|T1033|T1041|T1049|T1057|T1059.007|T1071.001|T1074.001|T1135|T1204.002|T1566.001|T1680
S0400,RobbinHood,[RobbinHood](https://attack.mitre.org/software/S0400) is ransomware that was first observed being used in an attack against the Baltimore city government's computer network.(Citation: CarbonBlack RobbinHood May 2019)(Citation: BaltimoreSun RobbinHood May 2019),RobbinHood,T1059.003|T1070.005|T1486|T1489|T1490|T1685
S1220,MEDUSA,"[MEDUSA](https://attack.mitre.org/software/S1220) is an open-source rootkit that is capable of dynamic linker hijacking, command execution, and logging credentials.(Citation: Google Cloud Mandiant UNC3886 2024)",MEDUSA,T1014|T1027.013|T1563.001|T1574.006
S1154,VersaMem,"[VersaMem](https://attack.mitre.org/software/S1154) is a web shell designed for deployment to Versa Director servers following exploitation. Discovered in August 2024, [VersaMem](https://attack.mitre.org/software/S1154) was used during [Versa Director Zero Day Exploitation](https://attack.mitre.org/campaigns/C0039) by [Volt Typhoon](https://attack.mitre.org/groups/G1017) to target ISPs and MSPs.  [VersaMem](https://attack.mitre.org/software/S1154) is deployed as a Java Archive (JAR) and allows f",VersaMem,T1027.013|T1040|T1056.004|T1059|T1070.004|T1074.001|T1129|T1203
S0177,Power Loader,"[Power Loader](https://attack.mitre.org/software/S0177) is modular code sold in the cybercrime market used as a downloader in malware families such as Carberp, Redyms and Gapz. (Citation: MalwareTech Power Loader Aug 2013) (Citation: WeLiveSecurity Gapz and Redyms Mar 2013)",Power Loader,T1055.011
S0164,TDTESS,[TDTESS](https://attack.mitre.org/software/S0164) is a 64-bit .NET binary backdoor used by [CopyKittens](https://attack.mitre.org/groups/G0052). (Citation: ClearSky Wilted Tulip July 2017),TDTESS,T1059.003|T1070.004|T1070.006|T1105|T1543.003
S1041,Chinoxy,"[Chinoxy](https://attack.mitre.org/software/S1041) is a backdoor that has been used since at least November 2018, during the [FunnyDream](https://attack.mitre.org/campaigns/C0007) campaign, to gain persistence and drop additional payloads. According to security researchers, [Chinoxy](https://attack.mitre.org/software/S1041) has been used by Chinese-speaking threat actors.(Citation: Bitdefender FunnyDream Campaign November 2020)",Chinoxy,T1027.013|T1036.005|T1140|T1547.001|T1574.001
S0546,SharpStage,[SharpStage](https://attack.mitre.org/software/S0546) is a .NET malware with backdoor capabilities.(Citation: Cybereason Molerats Dec 2020)(Citation: BleepingComputer Molerats Dec 2020),SharpStage,T1047|T1053.005|T1059.001|T1059.003|T1082|T1102|T1105|T1113|T1140|T1547.001|T1614.001
S1233,PAKLOG,"[PAKLOG](https://attack.mitre.org/software/S1233) is a keylogger known to be leveraged by [Mustang Panda](https://attack.mitre.org/groups/G0129) and was first observed utilized in 2024. [PAKLOG](https://attack.mitre.org/software/S1233) is deployed via a RAR archive (e.g., key.rar), which contains two files: a signed, legitimate binary (PACLOUD.exe) and the malicious [PAKLOG](https://attack.mitre.org/software/S1233) DLL (pa_lang2.dll). The PACLOUD.exe binary is used to side-load the [PAKLOG](http",PAKLOG,T1010|T1027.013|T1056.001|T1057|T1074.001|T1106|T1115|T1124|T1553.002|T1574.001
S1105,COATHANGER,"[COATHANGER](https://attack.mitre.org/software/S1105) is a remote access tool (RAT) targeting FortiGate networking appliances. First used in 2023 in targeted intrusions against military and government entities in the Netherlands along with other victims, [COATHANGER](https://attack.mitre.org/software/S1105) was disclosed in early 2024, with a high confidence assessment linking this malware to a state-sponsored entity in the People's Republic of China. [COATHANGER](https://attack.mitre.org/softwa",COATHANGER,T1014|T1027|T1027.002|T1055|T1057|T1059.004|T1070.004|T1071.001|T1083|T1095|T1140|T1190|T1222.002|T1543.004|T1564.001|T1573.002|T1574|T1574.006
S1085,Sardonic,"[Sardonic](https://attack.mitre.org/software/S1085) is a backdoor written in C and C++ that is known to be used by [FIN8](https://attack.mitre.org/groups/G0061), as early as August 2021 to target a financial institution in the United States. [Sardonic](https://attack.mitre.org/software/S1085) has a plugin system that can load specially made DLLs and execute their functions.(Citation: Bitdefender Sardonic Aug 2021)(Citation: Symantec FIN8 Jul 2023)",Sardonic,T1005|T1007|T1016|T1027|T1027.010|T1047|T1049|T1055.004|T1057|T1059.001|T1059.003|T1070|T1082|T1095|T1105|T1106|T1132.001|T1135|T1140|T1546.003|T1571|T1573.001|T1573.002|T1620|T1680
S0226,Smoke Loader,"[Smoke Loader](https://attack.mitre.org/software/S0226) is a malicious bot application that can be used to load other malware.
[Smoke Loader](https://attack.mitre.org/software/S0226) has been seen in the wild since at least 2011 and has included a number of different payloads. It is notorious for its use of deception and self-protection. It also comes with several plug-ins. (Citation: Malwarebytes SmokeLoader 2016) (Citation: Microsoft Dofoil 2018)",Smoke Loader|Dofoil,T1027.013|T1053.005|T1055|T1055.012|T1059.005|T1071.001|T1083|T1105|T1114.001|T1140|T1497.001|T1547.001|T1552.001|T1555.003
S0151,HALFBAKED,[HALFBAKED](https://attack.mitre.org/software/S0151) is a malware family consisting of multiple components intended to establish persistence in victim networks. (Citation: FireEye FIN7 April 2017),HALFBAKED,T1047|T1057|T1059.001|T1070.004|T1082|T1113
S0466,WindTail,[WindTail](https://attack.mitre.org/software/S0466) is a macOS surveillance implant used by [Windshift](https://attack.mitre.org/groups/G0112). [WindTail](https://attack.mitre.org/software/S0466) shares code similarities with Hack Back aka KitM OSX.(Citation: SANS Windshift August 2018)(Citation: objective-see windtail1 dec 2018)(Citation: objective-see windtail2 jan 2019),WindTail,T1027.013|T1027.015|T1036|T1036.001|T1048.003|T1059.004|T1070.004|T1071.001|T1083|T1106|T1119|T1124|T1140|T1560.001|T1564.003
S0083,Misdat,[Misdat](https://attack.mitre.org/software/S0083) is a backdoor that was used in [Operation Dust Storm](https://attack.mitre.org/campaigns/C0016) from 2010 to 2011.(Citation: Cylance Dust Storm),Misdat,T1005|T1027.002|T1036.005|T1041|T1059.003|T1070.004|T1070.006|T1070.009|T1082|T1083|T1095|T1105|T1106|T1132.001|T1547|T1614.001
S1187,reGeorg,[reGeorg](https://attack.mitre.org/software/S1187) is an open-source web shell written in Python that can be used as a proxy to bypass firewall rules and tunnel data in and out of targeted networks.(Citation: Fortinet reGeorg MAR 2019)(Citation: GitHub reGeorg 2016),reGeorg,T1021.001|T1021.002|T1021.004|T1059.006|T1071.001|T1090|T1095|T1105|T1505.003|T1572
S0173,FLIPSIDE,[FLIPSIDE](https://attack.mitre.org/software/S0173) is a simple tool similar to Plink that is used by [FIN5](https://attack.mitre.org/groups/G0053) to maintain access to victims. (Citation: Mandiant FIN5 GrrCON Oct 2016),FLIPSIDE,T1572
S0362,Linux Rabbit,"[Linux Rabbit](https://attack.mitre.org/software/S0362) is malware that targeted Linux servers and IoT devices in a campaign lasting from August to October 2018. It shares code with another strain of malware known as Rabbot. The goal of the campaign was to install cryptocurrency miners onto the targeted servers and devices.(Citation: Anomali Linux Rabbit 2018)
",Linux Rabbit,T1033|T1078|T1110.003|T1132|T1133|T1546.004
S0202,adbupd,[adbupd](https://attack.mitre.org/software/S0202) is a backdoor used by [PLATINUM](https://attack.mitre.org/groups/G0068) that is similar to [Dipsind](https://attack.mitre.org/software/S0200). (Citation: Microsoft PLATINUM April 2016),adbupd,T1059.003|T1546.003|T1573.002
S0082,Emissary,"[Emissary](https://attack.mitre.org/software/S0082) is a Trojan that has been used by [Lotus Blossom](https://attack.mitre.org/groups/G0030). It shares code with [Elise](https://attack.mitre.org/software/S0081), with both Trojans being part of a malware group referred to as LStudio.(Citation: Lotus Blossom Dec 2015)",Emissary,T1007|T1016|T1027.001|T1027.013|T1055.001|T1059.003|T1069.001|T1071.001|T1082|T1105|T1218.011|T1543.003|T1547.001|T1573.001|T1615
S0401,Exaramel for Linux,[Exaramel for Linux](https://attack.mitre.org/software/S0401) is a backdoor written in the Go Programming Language and compiled as a 64-bit ELF binary. The Windows version is tracked separately under [Exaramel for Windows](https://attack.mitre.org/software/S0343).(Citation: ESET TeleBots Oct 2018),Exaramel for Linux,T1008|T1027.013|T1033|T1053.003|T1059.004|T1070.004|T1071.001|T1105|T1140|T1543|T1543.002|T1548.001
S0271,KEYMARBLE,[KEYMARBLE](https://attack.mitre.org/software/S0271) is a Trojan that has reportedly been used by the North Korean government. (Citation: US-CERT KEYMARBLE Aug 2018),KEYMARBLE,T1016|T1057|T1059.003|T1070.004|T1082|T1083|T1105|T1112|T1113|T1573.001|T1680
S0043,BUBBLEWRAP,"[BUBBLEWRAP](https://attack.mitre.org/software/S0043) is a full-featured, second-stage backdoor used by the [admin@338](https://attack.mitre.org/groups/G0018) group. It is set to run when the system boots and includes functionality to check, upload, and register plug-ins that can further enhance its capabilities. (Citation: FireEye admin@338)",BUBBLEWRAP|Backdoor.APT.FakeWinHTTPHelper,T1071.001|T1082|T1095
S0391,HAWKBALL,[HAWKBALL](https://attack.mitre.org/software/S0391) is a backdoor that was observed in targeting of the government sector in Central Asia.(Citation: FireEye HAWKBALL Jun 2019),HAWKBALL,T1027.013|T1033|T1041|T1059.003|T1070.004|T1071.001|T1082|T1106|T1203|T1559.002|T1560.003
S1193,TAMECAT,[TAMECAT](https://attack.mitre.org/software/S1193) is a malware that is used by [APT42](https://attack.mitre.org/groups/G1044) to execute PowerShell or C# content.(Citation: Mandiant APT42-untangling) ,TAMECAT,T1047|T1059.001|T1059.003|T1059.005|T1071.001|T1105|T1132.001|T1518.001|T1573.001
S0613,PS1,[PS1](https://attack.mitre.org/software/S0613) is a loader that was used to deploy 64-bit backdoors in the [CostaRicto](https://attack.mitre.org/groups/G0132) campaign.(Citation: BlackBerry CostaRicto November 2020),PS1,T1027.013|T1055.001|T1059.001|T1105|T1140
